t,AGB+OB,AGB+OB_rate,AGB+OB_z
114.81536214968828,0.09113085874777034,0.019200227400942037,0.010713288001162065
115.87773561551262,0.09115118562011298,0.018981144456651534,0.010730836111138068
116.94993910198711,0.09117146666573954,0.018764222181656937,0.010748390499056024
118.03206356517298,0.09119170163009467,0.018549429880971864,0.010765949894250185
119.1242008027375,0.09121189024547398,0.018336738171480294,0.01078351303293343
120.22644346174131,0.09123203223184066,0.01812611892147098,0.010801078658628204
121.33888504649774,0.0912521272976245,0.017917545192076945,0.010818645522586766
122.4616199265049,0.09127217514050288,0.017710991180588945,0.010836212384200518
123.59474334445108,0.09129217544816427,0.0175064321656116,0.010853778011398254
124.73835142429432,0.09131212789905371,0.017303844454030732,0.010871341181033072
125.89254117941675,0.09133203216310026,0.017103205329760358,0.010888900679257869
127.05741052085419,0.09135188790242664,0.016904493004237495,0.010906455301889184
128.23305826560218,0.09137169477204063,0.016707686568633025,0.01092400385475934
129.41958414499862,0.09139145242050865,0.016512765947746356,0.01094154515405671
130.61708881318418,0.09141116049061133,0.016319711855551793,0.010959078026654058
131.82567385564073,0.09143081861998095,0.016128505752364256,0.010976601310424857
133.04544179780913,0.09145042644172105,0.015939129803591714,0.010994113854547523
134.2764961137864,0.0914699835850081,0.015751566840041913,0.011011614519797546
135.51894123510365,0.09148948967567548,0.01556580031975051,0.011029102178827474
136.77288255958496,0.09150894433677953,0.015381814291297867,0.011046575716434725
138.03842646028852,0.09152834718914811,0.01519959335858163,0.011064034029817297
139.31568029453035,0.09154769785191157,0.015019122647012141,0.011081476028817313
140.60475241299144,0.09156699594301643,0.014840387771097707,0.011098900636152511
141.90575216890926,0.09158624107972159,0.014663374803386782,0.011116306787635677
143.21878992735438,0.0916054328790777,0.014488070244734055,0.01113369343238214
144.5439770745928,0.09162457095838937,0.014314460995857583,0.01115105953300534
145.8814260275349,0.09164365493566069,0.014142534330154095,0.011168404065800632
147.23125024327194,0.09166268443002425,0.013972277867739668,0.011185726020917374
148.59356422870076,0.09168165906215349,0.01380367955068315,0.01120302440251945
149.9684835502374,0.09170057845465932,0.013636727619399849,0.011220298228934332
151.35612484362088,0.09171944223247028,0.0134714105901731,0.011237546532790833
152.75660582380732,0.09173825002319734,0.013307717233771553,0.011254768361145695
154.170045294956,0.09175700145748292,0.013145636555130298,0.01127196277559916
155.59656316050751,0.09177569616933484,0.012985157774064063,0.011289128852399714
157.0362804333553,0.09179433379644508,0.012826270306981124,0.011306265682538143
158.48931924611142,0.09181291398049395,0.012668963749566707,0.011323372371831123
159.95580286146696,0.09183143636743948,0.012513227860405167,0.011340448040994499
161.4358556826487,0.09184990060779295,0.012359052545510308,0.011357491825706473
162.9296032639723,0.09186830635688004,0.012206427843733856,0.011374502876660898
164.43717232149325,0.09188665327508864,0.012055343913022234,0.011391480359610882
165.95869074375614,0.09190494102810298,0.011905791017492335,0.011408423455402914
167.49428760264382,0.09192316928712485,0.011757759515297308,0.011425331360001753
169.04409316432648,0.09194133772908183,0.011611239847253893,0.01144220328450626
170.60823890031244,0.09195944603682309,0.011466222526203244,0.01145903845515645
172.18685749860077,0.0919774938993027,0.011322698127077672,0.011475836113331956
173.78008287493762,0.0919954810117515,0.01118065727764615,0.011492595515542152
175.3880501841762,0.09201340707583666,0.01104009064991207,0.011509315933408171
177.0108958317422,0.09203127179981035,0.010900988952137106,0.011525996653637047
178.64875748520515,0.09204907489864722,0.010763342921465599,0.011542636977988236
180.301774085957,0.09206681609417103,0.010627143317124466,0.011559236223232724
