t,winds,SNII,AGB,tot_SNII,tot_winds,tot_AGB
10000.0,3.09223979894066e-08,0.0,0.0,0.0,0.0,0.0
42678.42424242425,3.549178319493407e-08,0.0,0.0,0.0,0.0010851553942275573,0.0
75356.8484848485,3.62013622243887e-08,0.0,0.0,0.0,0.002256564904870779,0.0
108035.27272727274,3.70012255762973e-08,0.0,0.0,0.0,0.003452637514767842,0.0
140713.696969697,3.700122557629715e-08,0.0,0.0,0.0,0.004661779261639722,0.0
173392.12121212124,3.7001225576297074e-08,0.0,0.0,0.0,0.005870921008511597,0.0
206070.54545454547,3.7001225576297074e-08,0.0,0.0,0.0,0.007080062755383471,0.0
238748.96969696973,3.7001225576297226e-08,0.0,0.0,0.0,0.008289204502255348,0.0
271427.393939394,3.70012255762973e-08,0.0,0.0,0.0,0.009498346249127229,0.0
304105.81818181823,3.590854201176513e-08,0.0,0.0,0.0,0.010689634407456858,0.0
336784.2424242425,3.348073950193572e-08,0.0,0.0,0.0,0.01182340059704772,0.0
369462.66666666674,3.0633349447474155e-08,0.0,0.0,0.0,0.01287097429635039,0.0
402141.09090909094,2.7751435648466264e-08,0.0,0.0,0.0,0.013824935684684344,0.0
434819.5151515152,2.5194680981299047e-08,0.0,0.0,0.0,0.014690033515292517,0.0
467497.93939393945,2.2823124120465024e-08,0.0,0.0,0.0,0.015474606618445262,0.0
500176.3636363637,2.0905476984893545e-08,0.0,0.0,0.0,0.016189097507669586,0.0
532854.787878788,1.9267842084390227e-08,0.0,0.0,0.0,0.01684549788955575,0.0
565533.2121212122,1.7945639979603326e-08,0.0,0.0,0.0,0.017453536866768263,0.0
598211.6363636365,1.6774382210262858e-08,0.0,0.0,0.0,0.01802083467418168,0.0
630890.0606060607,1.5769150380206874e-08,0.0,0.0,0.0,0.018552570356350943,0.0
663568.484848485,1.4886922149440641e-08,0.0,0.0,0.0,0.019053466428216117,0.0
696246.9090909092,1.412416210913775e-08,0.0,0.0,0.0,0.019527484687783387,0.0
728925.3333333335,1.3423310849392981e-08,0.0,0.0,0.0,0.019977588691856177,0.0
761603.7575757577,1.2784784280106317e-08,0.0,0.0,0.0,0.02040580831746997,0.0
794282.1818181819,1.2230610401207002e-08,0.0,0.0,0.0,0.02081454015746379,0.0
826960.6060606062,1.172937483467755e-08,0.0,0.0,0.0,0.02120602743865402,0.0
859639.0303030304,1.1295375787910977e-08,0.0,0.0,0.0,0.021582233723114505,0.0
892317.4545454547,1.0893906069014605e-08,0.0,0.0,0.0,0.021944789106192176,0.0
924995.8787878789,1.053455598429221e-08,0.0,0.0,0.0,0.0222949132931125,0.0
957674.3030303032,1.0226511934588512e-08,0.0,0.0,0.0,0.022634132785701984,0.0
990352.7272727274,9.905184240300196e-09,0.0,0.0,0.0,0.022963068839863286,0.0
1023031.1515151517,9.53437706077503e-09,0.0,0.0,0.0,0.02328069595550486,0.0
1055709.575757576,9.182012951644328e-09,0.0,0.0,0.0,0.023586507022061116,0.0
1088388.0000000002,8.86697155712187e-09,0.0,0.0,0.0,0.023881413208522318,0.0
1121066.4242424243,8.62243430772404e-09,0.0,0.0,0.0,0.024167176320822006,0.0
1153744.8484848486,8.26784953854597e-09,0.0,0.0,0.0,0.024443150251373696,0.0
1186423.272727273,7.888693614565045e-09,0.0,0.0,0.0,0.024707135437097894,0.0
1219101.6969696973,7.551464948536336e-09,0.0,0.0,0.0,0.02495941546304556,0.0
1251780.1212121213,7.255666443690458e-09,0.0,0.0,0.0,0.02520135232376981,0.0
1284458.5454545456,7.053272351623849e-09,0.0,0.0,0.0,0.02543514910997589,0.0
1317136.96969697,6.8393320182534095e-09,0.0,0.0,0.0,0.025662143319691393,0.0
1349815.393939394,6.670282159672965e-09,0.0,0.0,0.0,0.025882879771420265,0.0
1382493.8181818184,6.533056109263146e-09,0.0,0.0,0.0,0.02609861191610453,0.0
1415172.2424242427,6.318922926323251e-09,0.0,0.0,0.0,0.026308603127744346,0.0
1447850.666666667,6.088576985402649e-09,0.0,0.0,0.0,0.026511331900695958,0.0
1480529.090909091,5.7994941868734914e-09,0.0,0.0,0.0,0.026705573617291842,0.0
1513207.5151515154,5.574330415635062e-09,0.0,0.0,0.0,0.02689141295010169,0.0
1545885.9393939397,5.46776774724771e-09,0.0,0.0,0.0,0.02707183213424828,0.0
1578564.3636363638,5.302460126856568e-09,0.0,0.0,0.0,0.02724780917207706,0.0
1611242.787878788,5.070657235907411e-09,0.0,0.0,0.0,0.02741729773702549,0.0
1643921.2121212124,4.837948085215914e-09,0.0,0.0,0.0,0.027579196541192695,0.0
1676599.6363636367,4.617424739254428e-09,0.0,0.0,0.0,0.027733689883456862,0.0
1709278.0606060608,4.4404622170968865e-09,0.0,0.0,0.0,0.027881688619806645,0.0
1741956.484848485,4.335554644325887e-09,0.0,0.0,0.0,0.028025081820884767,0.0
1774634.9090909094,4.165334252082666e-09,0.0,0.0,0.0,0.028163979647782042,0.0
1807313.3333333337,3.969096344475434e-09,0.0,0.0,0.0,0.028296889834784483,0.0
1839991.7575757578,3.747882839489334e-09,0.0,0.0,0.0,0.028422979194606263,0.0
1872670.181818182,3.585821814462005e-09,0.0,0.0,0.0,0.028542806150581496,0.0
1905348.6060606064,3.4474925124812278e-09,0.0,0.0,0.0,0.02865772496528458,0.0
1938027.0303030305,3.3445520220386167e-09,0.0,0.0,0.0,0.02876870162167082,0.0
1970705.4545454548,3.2358324768555344e-09,0.0,0.0,0.0,0.02887621991983739,0.0
2003383.8787878791,3.1134047382764737e-09,0.0,0.0,0.0,0.028979961453503324,0.0
