t,AGB,SNII,Winds,tot_AGB,tot_SNII,tot_winds
100000.0,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0
132397.726481837,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.00012024338927616803
164795.45296367398,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.00024048677855233606
197193.17944551096,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0003607301678285041
229590.90592734795,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0004809735571046721
261988.63240918497,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0006012169463808402
294386.3588910219,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0007214603356570082
326784.0853728589,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0008417037249331763
359181.8118546959,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0009619471142093443
391579.53833653295,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0010821905034855126
423977.26481836993,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0012024338927616807
456374.9913002069,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0013226772820378488
488772.7177820439,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0014429206713140168
521170.4442638809,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.001563164060590185
553568.1707457178,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0016834074498663528
585965.8972275548,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0018036508391425208
618363.6237093918,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.001923894228418689
650761.3501912289,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.002044137617694857
683159.0766730659,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0021643810069710253
715556.8031549029,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0022846243962471933
747954.5296367399,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0024048677855233614
780352.2561185769,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0025251111747995295
812749.9826004138,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0026453545640756975
845147.7090822508,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0027655979533518656
877545.4355640878,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0028858413426280337
909943.1620459248,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.0030060847319042018
942340.8885277618,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.00312632812118037
974738.6150095988,0.0,0.0,3.711476153846154e-09,0.0,0.0,0.003246571510456538
1007136.3414914358,0.0,0.0,3.744350207954697e-09,0.0,0.0,0.003367347422039385
1039534.0679732728,0.0,0.0,3.894292105401334e-09,0.0,0.0,0.0034910847442197325
1071931.7944551096,0.0,0.0,4.0453604078570965e-09,0.0,0.0,0.0036196980894624203
1104329.5209369469,0.0,0.0,4.197529143340395e-09,0.0,0.0,0.0037532235300122654
