t,winds,SNII,AGB,tot_SNII,tot_winds,tot_AGB
10000.0,9.157805785338864e-10,0.0,0.0,0.0,0.0,0.0
41183.36363636362,1.0493830288137486e-09,0.0,0.0,0.0,3.06402056864347e-05,0.0
72366.72727272724,1.070964075642668e-09,0.0,0.0,0.0,6.369998308322225e-05,0.0
103550.09090909085,1.0957984923133299e-09,0.0,0.0,0.0,9.748345561833871e-05,0.0
134733.45454545447,1.0957984923133253e-09,0.0,0.0,0.0,0.0001316541384763242,0.0
165916.8181818181,1.0957984923133253e-09,0.0,0.0,0.0,0.0001658248213343096,0.0
197100.1818181817,1.0957984923133253e-09,0.0,0.0,0.0,0.00019999550419229502,0.0
228283.54545454532,1.0957984923133253e-09,0.0,0.0,0.0,0.00023416618705028044,0.0
259466.90909090894,1.0957984923133299e-09,0.0,0.0,0.0,0.00026833686990826596,0.0
290650.2727272726,1.09346687793805e-09,0.0,0.0,0.0,0.0003024711989767895,0.0
321833.6363636362,1.0685765098117188e-09,0.0,0.0,0.0,0.00033618109155568774,0.0
353016.99999999977,1.0283530444134308e-09,0.0,0.0,0.0,0.00036887574996030806,0.0
384200.3636363634,9.806944035973057e-10,0.0,0.0,0.0,0.00040020017852732164,0.0
415383.72727272706,9.319999702020132e-10,0.0,0.0,0.0,0.00043002230061902713,0.0
446567.09090909065,8.860881794524583e-10,0.0,0.0,0.0,0.00045836935256584656,0.0
477750.45454545424,8.430211388708415e-10,0.0,0.0,0.0,0.00048532907488599666,0.0
508933.8181818179,8.019795120000179e-10,0.0,0.0,0.0,0.0005109774016250771,0.0
540117.1818181815,7.638336929868136e-10,0.0,0.0,0.0,0.0005353910629039393,0.0
571300.5454545452,7.285520325643545e-10,0.0,0.0,0.0,0.0005586598662867295,0.0
602483.9090909087,6.959457627514803e-10,0.0,0.0,0.0,0.0005808701826619954,0.0
633667.2727272724,6.657763986876225e-10,0.0,0.0,0.0,0.0006021017213279206,0.0
664850.636363636,6.380044236823262e-10,0.0,0.0,0.0,0.0006224298570709603,0.0
696033.9999999995,6.122243290976327e-10,0.0,0.0,0.0,0.0006419230259842476,0.0
727217.3636363632,5.883274330275276e-10,0.0,0.0,0.0,0.0006606416470655606,0.0
758400.7272727268,5.659996995749324e-10,0.0,0.0,0.0,0.0006786395484311924,0.0
789584.0909090905,5.452934805232299e-10,0.0,0.0,0.0,0.0006959664781019983,0.0
820767.4545454541,5.261567511425516e-10,0.0,0.0,0.0,0.0007126721891981484,0.0
851950.8181818177,5.085696564097519e-10,0.0,0.0,0.0,0.0007288053141135741,0.0
883134.1818181813,4.921016523701825e-10,0.0,0.0,0.0,0.0007444074627646545,0.0
914317.545454545,4.762747177063665e-10,0.0,0.0,0.0,0.0007595060790071339,0.0
945500.9090909085,4.615013437560011e-10,0.0,0.0,0.0,0.0007741275849741629,0.0
976684.2727272721,4.476818270320903e-10,0.0,0.0,0.0,0.0007883032796875364,0.0
1007867.6363636358,4.3495400550828226e-10,0.0,0.0,0.0,0.000802065056749832,0.0
1039050.9999999994,4.23136181372e-10,0.0,0.0,0.0,0.0008154441259149735,0.0
1070234.363636363,4.120016832879717e-10,0.0,0.0,0.0,0.0008284653297750675,0.0
1101417.7272727266,4.0153718616514543e-10,0.0,0.0,0.0,0.0008411497689743038,0.0
1132601.0909090904,3.9159404495174726e-10,0.0,0.0,0.0,0.0008535160187699413,0.0
1163784.454545454,3.82472006247808e-10,0.0,0.0,0.0,0.0008655850103465012,0.0
1194967.8181818174,3.7582471978740175e-10,0.0,0.0,0.0,0.0008774081316226111,0.0
1226151.1818181812,3.693846920928451e-10,0.0,0.0,0.0,0.0008890271996605624,0.0
1257334.5454545447,3.6442737395774973e-10,0.0,0.0,0.0,0.0009004685639087659,0.0
1288517.9090909082,3.6048507852836826e-10,0.0,0.0,0.0,0.0009117711682139673,0.0
1319701.272727272,3.5677663828868884e-10,0.0,0.0,0.0,0.0009229544846829417,0.0
1350884.6363636355,3.5473855897807967e-10,0.0,0.0,0.0,0.0009340482032475259,0.0
1382067.999999999,3.51602844551107e-10,0.0,0.0,0.0,0.000945061253666361,0.0
1413251.3636363628,3.488215903221285e-10,0.0,0.0,0.0,0.0009559820485925844,0.0
1444434.7272727264,3.4576215019652764e-10,0.0,0.0,0.0,0.0009668117772708338,0.0
1475618.0909090901,3.4120534275852934e-10,0.0,0.0,0.0,0.0009775227558404232,0.0
1506801.4545454537,3.3692467048075084e-10,0.0,0.0,0.0,0.0009880959432382094,0.0
1537984.8181818172,3.3397941487443827e-10,0.0,0.0,0.0,0.0009985564662675858,0.0
1569168.181818181,3.271408323605019e-10,0.0,0.0,0.0,0.0010088644428060307,0.0
1600351.5454545445,3.2088230079439375e-10,0.0,0.0,0.0,0.0010189682133090031,0.0
1631534.9090909082,3.164956188950322e-10,0.0,0.0,0.0,0.0010289060070307354,0.0
1662718.2727272718,3.094422627209706e-10,0.0,0.0,0.0,0.0010386654313188387,0.0
1693901.6363636353,3.0124253423727843e-10,0.0,0.0,0.0,0.0010481870343642128,0.0
1725084.999999999,2.9395724313408647e-10,0.0,0.0,0.0,0.0010574671999112398,0.0
1756268.3636363626,2.8880593454257155e-10,0.0,0.0,0.0,0.0010665534579529267,0.0
1787451.7272727261,2.853507128360813e-10,0.0,0.0,0.0,0.0010755055257126486,0.0
1818635.09090909,2.781678383414444e-10,0.0,0.0,0.0,0.0010842917276612514,0.0
1849818.4545454534,2.71714706105258e-10,0.0,0.0,0.0,0.0010928653213316366,0.0
1881001.818181817,2.6674486390808e-10,0.0,0.0,0.0,0.0011012608116192394,0.0
1912185.1818181807,2.6344824451789623e-10,0.0,0.0,0.0,0.00110952741386801,0.0
1943368.5454545442,2.5919606330618054e-10,0.0,0.0,0.0,0.001117676317619687,0.0
1974551.909090908,2.549274847199018e-10,0.0,0.0,0.0,0.0011256923683957444,0.0
2005735.2727272715,2.4895754070700485e-10,0.0,0.0,0.0,0.0011335487833851472,0.0
2036918.636363635,2.4511873233289697e-10,0.0,0.0,0.0,0.0011412522634282984,0.0
2068101.9999999988,2.3993025600610036e-10,0.0,0.0,0.0,0.001148814992920711,0.0
2099285.3636363624,2.3265901730310735e-10,0.0,0.0,0.0,0.001156183454500834,0.0
2130468.727272726,2.2606975409185916e-10,0.0,0.0,0.0,0.0011633358075452697,0.0
2161652.0909090894,2.1999057769109177e-10,0.0,0.0,0.0,0.001170290638310142,0.0
2192835.454545453,2.1562023938393168e-10,0.0,0.0,0.0,0.0011770825435665339,0.0
2224018.818181817,2.1140896132810497e-10,0.0,0.0,0.0,0.0011837406469911084,0.0
2255202.1818181807,2.0663669096649296e-10,0.0,0.0,0.0,0.0011902586817871602,0.0
2286385.545454544,2.0043041702417024e-10,0.0,0.0,0.0,0.001196605542613598,0.0
2317568.909090908,1.9266751066848455e-10,0.0,0.0,0.0,0.0012027346004255686,0.0
2348752.2727272715,1.8900109975952772e-10,0.0,0.0,0.0,0.0012086854559593498,0.0
2379935.636363635,1.8522591831930156e-10,0.0,0.0,0.0,0.0012145202845530018,0.0
2411118.9999999986,1.820071658485416e-10,0.0,0.0,0.0,0.0012202460659544564,0.0
2442302.3636363624,1.7631943495419263e-10,0.0,0.0,0.0,0.0012258329803011634,0.0
2473485.7272727257,1.7068328923217166e-10,0.0,0.0,0.0,0.0012312433363667196,0.0
2504669.0909090894,1.6569783709645447e-10,0.0,0.0,0.0,0.0012364880838580772,0.0
2535852.454545453,1.6088628020474392e-10,0.0,0.0,0.0,0.0012415800795019093,0.0
2567035.8181818165,1.5678827751051255e-10,0.0,0.0,0.0,0.0012465331601275373,0.0
2598219.1818181803,1.5354728736444722e-10,0.0,0.0,0.0,0.0012513718135119334,0.0
2629402.545454544,1.509632456450581e-10,0.0,0.0,0.0,0.0012561196448529026,0.0
2660585.9090909073,1.4724589399234602e-10,0.0,0.0,0.0,0.0012607692268734028,0.0
2691769.272727271,1.4222458321731988e-10,0.0,0.0,0.0,0.0012652825584498133,0.0
2722952.636363635,1.3938676600646778e-10,0.0,0.0,0.0,0.0012696733530032994,0.0
2754135.999999998,1.3842541508954249e-10,0.0,0.0,0.0,0.0012740049121361635,0.0
2785319.363636362,1.3612571897723575e-10,0.0,0.0,0.0,0.0012782856260613537,0.0
2816502.7272727257,1.314785464980283e-10,0.0,0.0,0.0,0.0012824580266218323,0.0
2847686.0909090894,1.276778151109539e-10,0.0,0.0,0.0,0.0012864987101531972,0.0
2878869.4545454527,1.2472485574942204e-10,0.0,0.0,0.0,0.0012904340922873113,0.0
2910052.8181818165,1.2280965917571953e-10,0.0,0.0,0.0,0.001294293571683042,0.0
2941236.1818181803,1.1845490094458249e-10,0.0,0.0,0.0,0.0012980552919384413,0.0
2972419.5454545435,1.1461903823651091e-10,0.0,0.0,0.0,0.0013016893066382631,0.0
3003602.9090909073,1.1279578367166515e-10,0.0,0.0,0.0,0.0013052350861821938,0.0
3034786.272727271,1.1147344856036441e-10,0.0,0.0,0.0,0.0013087318206927636,0.0
3065969.6363636344,1.1019925756185233e-10,0.0,0.0,0.0,0.0013121880709943965,0.0
3097152.999999998,1.1025078326942392e-10,0.0,0.0,0.0,0.001315625257887843,0.0
3097152.999999998,1.1025078326942392e-10,0.0,0.0,0.0,0.001315625257887843,0.0
3103513.406865972,1.128063303413426e-10,1.4313043815696946e-08,0.0,4.551839107917247e-05,0.0013163346248863002,0.0
3109886.8756554225,1.1238645330030249e-10,1.470448955926331e-08,0.0,0.00013798956273524413,0.001317052254475375,0.0
3116273.433192722,1.1173010207340333e-10,1.5106640906216246e-08,0.0,0.00023318481272010893,0.0013177679211133528,0.0
3122673.1063573123,1.1091191144651096e-10,1.5519790642821564e-08,0.0,0.00033118438877587786,0.0013184803391729696,0.0
3129085.9220838416,1.1024040030237305e-10,1.594423956276244e-08,0.0,0.0004320709026370595,0.0013191894436843403,0.0
3135511.9073622646,1.0943763428416948e-10,1.638029668600979e-08,0.0,0.0005359293996702891,0.0013198952675924633,0.0
3141951.089237984,1.0857812256696238e-10,1.6828279484000644e-08,0.0,0.0006428474305664754,0.0013205971891475318,0.0
3148403.4948119232,1.0770244020185754e-10,1.728851411058229e-08,0.0,0.0007529151251437895,0.001321294954101904,0.0
3154869.1512406687,1.0675776958838675e-10,1.7761335639586376e-08,0.0,0.0008662252683256601,0.0013219882671189741,0.0
3161348.0857365686,1.0589549498269632e-10,1.8247088308667325e-08,0.0,0.0009828733783563233,0.0013226771504047218,0.0
3167840.3255678755,1.0520117689824136e-10,1.874612577009866e-08,0.0,0.0011029577873214384,0.0013233623955154427,0.0
3174345.8980588214,1.0445233652052618e-10,1.9258811348095677e-08,0.0,0.0012265797240395657,0.0013240443535802063,0.0
3180864.830589752,1.0371630749182688e-10,1.978551830333345e-08,0.0,0.0013538433993961082,0.0013247228722528923,0.0
3187397.1505972617,1.0331841917702002e-10,2.0326630104854545e-08,0.0,0.0014848560941916075,0.0013253990807965263,0.0
3193942.885574269,1.0289625955960102e-10,2.088254070907461e-08,0.0,0.0016197282495767113,0.0013260739941142155,0.0
3200502.0630701613,1.0256909712073983e-10,2.1453654846729283e-08,0.0,0.0017585735601523705,0.001326747835986077,0.0
3207074.7106908937,1.0208734447659644e-10,2.204038831738632e-08,0.0,0.0019015090698116994,0.0013274204033230433,0.0
3213660.856099135,1.0151194750595527e-10,2.264316829240328e-08,0.0,0.0020486552704064224,0.0013280908705940494,0.0
3220260.527014341,1.0076229618555063e-10,2.3350522750156153e-08,0.0,0.0022004268829347072,0.0013287583423155424,0.0
3226840.5265526967,9.974654972176288e-11,2.4664188933564376e-08,0.0,0.0023583952732912842,0.0013294180163722956,0.0
3233176.0683647147,9.8662279209652e-11,2.4798709561890455e-08,0.0,0.0025150824040720632,0.0013300465300880799,0.0
3239524.049307121,9.766731896384734e-11,2.49339638773769e-08,0.0,0.002672933435675754,0.0013306696783618977,0.0
3245884.4938027686,9.657640107330051e-11,2.5069955881695925e-08,0.0,0.0028319570137719553,0.0013312874165618599,0.0
3252257.426322442,9.571722733587624e-11,2.520668959816696e-08,0.0,0.002992161848251309,0.0013319001537207672,0.0
3258642.871384999,9.49703247262253e-11,2.5344169072254606e-08,0.0,0.0031535567137038335,0.0013325089661646702,0.0
3265040.853557409,9.420169485923299e-11,2.5482398371302386e-08,0.0,0.00331615044989817,0.0013331141257690836,0.0
3271451.397454897,9.337892601245145e-11,2.5621381584930127e-08,0.0,0.003479951962266672,0.0013337153726712915,0.0
3277874.5277410173,9.256961561908109e-11,2.5761122825125275e-08,0.0,0.0036449702223931416,0.0013343125585259983,0.0
