He,H,C,N,O,Ne,Mg,Si,Fe
0.0006490754956933181,0.0014554302988014065,2.996868903580438e-06,6.330445613710758e-06,1.0644946794917591e-05,2.54937366696832e-06,1.4871346390648536e-06,1.4871346390648536e-06,2.761821472549014e-06
0.0006653952726706974,0.0014870343106029445,3.0477233143234697e-06,6.50938467637348e-06,1.0869962338558897e-05,2.6074279843234773e-06,1.5209996575220286e-06,1.5209996575220286e-06,2.8247136496837674e-06
0.0006822985824186381,0.0015194935419042162,3.0992933466914473e-06,6.6953181120501026e-06,1.1100922063798936e-05,2.667225189414474e-06,1.5558813604917765e-06,1.5558813604917765e-06,2.889493955199014e-06
0.0006998084685818325,0.00155282818570266,3.151566982419549e-06,6.88852316483443e-06,1.1337971075739194e-05,2.7288176586089827e-06,1.5918103008552399e-06,1.5918103008552399e-06,2.9562191301597317e-06
0.0007179489919517727,0.0015870587177318112,3.2045304546809066e-06,7.089288188744047e-06,1.158125745460133e-05,2.7922593429379323e-06,1.6288179500471273e-06,1.6288179500471273e-06,3.024947621516094e-06
0.0007367452801603971,0.0016222058858550695,3.2581681380740297e-06,7.297913096674372e-06,1.183093228774935e-05,2.857605815445557e-06,1.6669367256765752e-06,1.6669367256765752e-06,3.0957396333993544e-06
0.0007562235799940077,0.00165829069801465,3.3124624329235684e-06,7.514709827610896e-06,1.2087149700296211e-05,2.9249143199633853e-06,1.7062000199786416e-06,1.7062000199786416e-06,3.1686571799603347e-06
0.0007764113124725997,0.0016953344086259178,3.3673936436248952e-06,7.740002832845661e-06,1.2350066884153823e-05,2.99424382135097e-06,1.7466422291213992e-06,1.7466422291213992e-06,3.2437641397968846e-06
0.000797337130848021,0.0017333585033001107,3.422939850750811e-06,7.97412958197466e-06,1.2619844125377045e-05,3.0656550572474802e-06,1.7882987833943637e-06,1.7882987833943637e-06,3.3211263120181045e-06
0.0008190309816831313,0.0017723846817707804,3.4790767766259373e-06,8.21744108948473e-06,1.2896644829643537e-05,3.139210591379599e-06,1.8312061783047662e-06,1.8312061783047662e-06,3.4008114739945663e-06
0.000841524169183396,0.0018124348388911574,3.5357776440610926e-06,8.470302462771577e-06,1.3180635545702148e-05,3.2149748684725055e-06,1.8754020066089618e-06,1.8754020066089618e-06,3.482889440845215e-06
0.0008648494229621419,0.0018535310435610103,3.593013027926088e-06,8.733093472465192e-06,1.3471985986612925e-05,3.2930142708121872e-06,1.9209249913071094e-06,1.9209249913071094e-06,3.5674321267132036e-06
0.0008890409694310697,0.001895695515432397,3.650750699224898e-06,9.006209145974853e-06,1.377086904859163e-05,3.3733971765087095e-06,1.9678150196300807e-06,1.9678150196300807e-06,3.654513607884436e-06
0.0009141346070185907,0.0019389505992339704,3.7089554613220602e-06,9.290060385203246e-06,1.4077460827261099e-05,3.4561940195116173e-06,2.0161131780484433e-06,2.0161131780484433e-06,3.7442101878042526e-06
0.0009401677854301498,0.0019833187365431723,3.767588977953393e-06,9.58507460941833e-06,1.4391940631100594e-05,3.541477351430153e-06,2.065861788334256e-06,2.065861788334256e-06,3.836600464049333e-06
0.0009671796891769828,0.0020288224348246745,3.826609592637661e-06,9.891696424312052e-06,1.4714490991872597e-05,3.629321905212575e-06,2.1171044447073357e-06,2.1171044447073357e-06,3.931765397313624e-06
0.0009952113256127442,0.002075484233541786,3.885972139088649e-06,1.0210388318317289e-05,1.5045297671794241e-05,3.7198046607404757e-06,2.1698860520986107e-06,2.1698860520986107e-06,4.029788382468849e-06
0.0010243056177311855,0.0021233266671351813,3.945627742209162e-06,1.0541631387298331e-05,1.5384549667207696e-05,3.813004912395698e-06,2.2242528655641574e-06,2.2242528655641574e-06,4.130755321762007e-06
0.0010545075019926138,0.002172372224650201,4.005523609229768e-06,1.0885926088776098e-05,1.5732439208490243e-05,3.9090043386591725e-06,2.280252530884517e-06,2.280252530884517e-06,4.234754700214104e-06
0.0010858640314622455,0.0022226433057800405,4.065602810535596e-06,1.1243793026896808e-05,1.6089161755930727e-05,4.007887073802777e-06,2.3379341263849536e-06,2.3379341263849536e-06,4.341877663286343e-06
0.0011184244845598636,0.002274162173077393,4.125804049704055e-06,1.1615773769402589e-05,1.6454915991284134e-05,4.109739781737176e-06,2.397348206013353e-06,2.397348206013353e-06,4.452218096881942e-06
0.0011522404797374135,0.002326950900071427,4.18606142225518e-06,1.2002431697914085e-05,1.6829903804700434e-05,4.2146517320804515e-06,2.458546843713597e-06,2.458546843713597e-06,4.5658727097538235e-06
0.0011873660964194172,0.0023810313150103525,4.2463041625939945e-06,1.2404352892888975e-05,1.7214330276707637e-05,4.3227148785143515e-06,2.521583679133372e-06,2.521583679133372e-06,4.682941118390548e-06
0.0012238580025603772,0.0024364249399321976,4.306456378601214e-06,1.2822147054676311e-05,1.76084036549116e-05,4.434023939496916e-06,2.5865139647065347e-06,2.5865139647065347e-06,4.803525934454993e-06
0.0012617755891937738,0.0024931529247476905,4.366436773304424e-06,1.3256448462144891e-05,1.8012335325057617e-05,4.548676481402363e-06,2.653394614151379e-06,2.653394614151379e-06,4.927732854852562e-06
0.0013011811123688649,0.002551235975999295,4.4261583530365945e-06,1.3707916970424618e-05,1.842633977607948e-05,4.666773004161239e-06,2.7222842524273898e-06,2.7222842524273898e-06,5.05567075450801e-06
0.0013421398428943804,0.0026106942799393835,4.485528121462561e-06,1.417723904936301e-05,1.8850634558742433e-05,4.7884170294759965e-06,2.793243267194332e-06,2.793243267194332e-06,5.187451781932331e-06
0.0013847202243324002,0.0026715474195481864,4.544446758826577e-06,1.4665128864364849e-05,1.9285440237465527e-05,4.9137151916894905e-06,2.86633386181887e-06,2.86633386181887e-06,5.323191457663616e-06
0.0014289940397113339,0.002733814285088467,4.602808285745429e-06,1.5172329401351447e-05,1.973098033488729e-05,5.0427773313861406e-06,2.9416201099752487e-06,2.9416201099752487e-06,5.46300877566832e-06
0.0014750365874540258,0.002797512977768741,4.660499710841702e-06,1.5699613637647477e-05,2.0187481268715996e-05,5.175716591807965e-06,3.0191680118879797e-06,3.0191680118879797e-06,5.607026307791964e-06
0.0015229268670457134,0.0028626607060601873,4.717400661480567e-06,1.6247785760677406e-05,2.0655172280382063e-05,5.3126495181701274e-06,3.099045552265908e-06,3.099045552265908e-06,5.755370311350973e-06
0.0015727477749969282,0.0029292736741841473,4.7733829968409865e-06,1.6817682436431165e-05,2.1134285354985065e-05,5.4536961599631986e-06,3.1813227599785327e-06,3.1813227599785327e-06,5.908170839960133e-06
0.0016245863116885837,0.002997366962257119,4.82831040251819e-06,1.7410174129739003e-05,2.1625055132002056e-05,5.598980176331954e-06,3.2660717695269734e-06,3.2660717695269734e-06,6.065561857692952e-06
0.0016785337997205065,0.0030669543975483603,4.882037965818931e-06,1.8026166478479443e-05,2.212771880619639e-05,5.748628944623233e-06,3.3533668843635526e-06,3.3533668843635526e-06,6.22768135667517e-06
0.0017346861144206813,0.0031380484162715112,4.934411730874034e-06,1.8666601723931573e-05,2.2642516018137682e-05,5.9027736721981615e-06,3.4432846421155947e-06,3.4432846421155947e-06,6.394671478214676e-06
0.0017931439272105927,0.0032106599152958927,4.985268232654179e-06,1.9332460199573735e-05,2.3169688733713752e-05,6.061549511606912e-06,3.535903881770699e-06,3.535903881770699e-06,6.566678637574156e-06
0.001854012962562383,0.003284798093125237,5.034434008934705e-06,2.0024761880725338e-05,2.3709481111983897e-05,6.225095679227116e-06,3.6313058128824844e-06,3.6313058128824844e-06,6.743853652496044e-06
0.0019174042693262492,0.0033604702794514177,5.081725089213171e-06,2.0744567997527152e-05,2.4262139360690176e-05,6.393555577470115e-06,3.7295740868575676e-06,3.7295740868575676e-06,6.926351875592626e-06
0.001983434507251691,0.0034376817525481416,5.126946459539711e-06,2.1492982713857897e-05,2.4827911578708932e-05,6.567076920662327e-06,3.830794870386357e-06,3.830794870386357e-06,7.114333330717522e-06
0.002052226249574067,0.0035164355437243863,5.1698915021745e-06,2.2271154874891924e-05,2.5407047584689026e-05,6.74581186471225e-06,3.935056921082147e-06,3.935056921082147e-06,7.307962853438273e-06
0.0021239083025885383,0.0035967322280094803,5.210341408939055e-06,2.3080279826113855e-05,2.5999798731085378e-05,6.929917140676987e-06,4.042451665394909e-06,4.042451665394909e-06,7.507410235733404e-06
0.002198616043187096,0.003678569700190946,5.248064567078375e-06,2.392160130672207e-05,2.6606417702757337e-05,7.119554192345519e-06,4.15307327886822e-06,4.15307327886822e-06,7.712850375040982e-06
0.0022764917753910837,0.003761942935272405,5.282815916399091e-06,2.4796413420473278e-05,2.7227158299260048e-05,7.3148893179595445e-06,4.267018768809735e-06,4.267018768809735e-06,7.924463427789508e-06
0.002357685106971699,0.0038468437323617957,5.314336276394741e-06,2.5706062687146155e-05,2.786227519991384e-05,7.516093816196339e-06,4.384388059447865e-06,4.384388059447865e-06,8.142434967546035e-06
0.0024423533473145083,0.003933260440939658,5.342351642012868e-06,2.6651950177932716e-05,2.8512023710691756e-05,7.723344136541763e-06,4.505284079649363e-06,4.505284079649363e-06,8.366956147920246e-06
0.002530661927751326,0.004021177668393146,5.366572446659822e-06,2.7635533738202102e-05,2.9176659491917995e-05,7.936822034185501e-06,4.629812853274877e-06,4.629812853274877e-06,8.598223870367629e-06
0.002622784845654014,0.004110575967633461,5.386692790977768e-06,2.8658330301223366e-05,2.9856438265720722e-05,8.156714729574476e-06,4.758083592251778e-06,4.758083592251778e-06,8.836440957039017e-06
0.0027189051336601916,0.00420143150354238,5.4023896358644004e-06,2.9721918296581244e-05,3.055161550213116e-05,8.383215072764576e-06,4.890208792446003e-06,4.890208792446003e-06,9.081816328828292e-06
0.0028192153554806366,0.004293715696917199,5.413321958139108e-06,3.0827940157172675e-05,3.126244608266675e-05,8.616521712714976e-06,5.026304332417069e-06,5.026304332417069e-06,9.334565188774558e-06
0.002923918129822685,0.004387394844502516,5.419129867189695e-06,3.197810492883176e-05,3.198918394017976e-05,8.85683927167368e-06,5.16648957514298e-06,5.16648957514298e-06,9.594909210979822e-06
0.0030332266840533695,0.004482429713611483,5.420718727809254e-06,3.317419098679737e-05,3.273079662674551e-05,9.104378524807442e-06,5.310887472804342e-06,5.310887472804342e-06,9.863076735208066e-06
0.0031473654393207313,0.004578775109748313,5.420743723805093e-06,3.441804886341133e-05,3.348447937185454e-05,9.359356585233735e-06,5.4596246747196796e-06,5.4596246747196796e-06,1.0139302967336549e-05
0.0032665706289519854,0.004676379415547459,5.420769922411586e-06,3.571160419161519e-05,3.424849356757943e-05,9.621997094617259e-06,5.612831638526735e-06,5.612831638526735e-06,1.0423830185835367e-05
0.0033910909520533396,0.004775184099242814,5.42079737057789e-06,3.7056860769002285e-05,3.5022640146198024e-05,9.892530419498316e-06,5.770642744707352e-06,5.770642744707352e-06,1.0716907954456511e-05
0.0035209031393086568,0.004875408315761689,5.420826166266646e-06,3.845428450337652e-05,3.580831219789813e-05,1.0171193853525464e-05,5.933196414556521e-06,5.933196414556521e-06,1.1018793341319256e-05
0.003654865386545499,0.004978395644964234,5.420856616397643e-06,3.989802653545942e-05,3.661327348004064e-05,1.0458231825769958e-05,6.100635231699143e-06,6.100635231699143e-06,1.1329751144584123e-05
0.0037920267773653114,0.0050853048463724,5.4208890126421725e-06,4.138338562838551e-05,3.744419770871322e-05,1.0753896115304941e-05,6.273106067261217e-06,6.273106067261217e-06,1.165005412491369e-05
0.00393246851896382,0.005196268805966182,5.420923476762412e-06,4.2911562256725746e-05,3.830191620131084e-05,1.1058446072237761e-05,6.450760208805362e-06,6.450760208805362e-06,1.1979983244924245e-05
0.004076273988676005,0.005311424677410482,5.420960138026361e-06,4.448379153887312e-05,3.9187286727829396e-05,1.1372148845389458e-05,6.633753493143851e-06,6.633753493143851e-06,1.2319827915838583e-05
0.0042235287943054025,0.005430914015326869,5.420999133665589e-06,4.6101344237153476e-05,4.010119434807542e-05,1.1695279616821399e-05,6.822246443145816e-06,6.822246443145816e-06,1.2669886251556517e-05
0.004374320836178223,0.005554882912662759,5.421040609360663e-06,4.77655277868168e-05,4.104455227524996e-05,1.2028121843414892e-05,7.016404408658688e-06,7.016404408658688e-06,1.3030465330366135e-05
0.00452874037097253,0.005683482142282886,5.421084719755959e-06,4.9477687354743355e-05,4.201830276673384e-05,1.237096750571598e-05,7.216397711667656e-06,7.216397711667656e-06,1.340188146452565e-05
0.004686880077374192,0.0058168673029116704,5.4211316290055785e-06,5.1239206928722945e-05,4.302341804292781e-05,1.2724117364263823e-05,7.422401795820563e-06,7.422401795820563e-06,1.3784460477952476e-05
0.0048488351236128935,0.005955198969559034,5.421181511352282e-06,5.305151043819044e-05,4.406090123502758e-05,1.3087881223627794e-05,7.634597380449547e-06,7.634597380449547e-06,1.4178537992263447e-05
0.005014703236932997,0.0060986428485662,5.421234551741386e-06,5.4916062907326294e-05,4.513178736264115e-05,1.3462578204385086e-05,7.853170619224635e-06,7.853170619224635e-06,1.458445972141718e-05
0.005184584775055733,0.006247369937412177,5.421290946471753e-06,5.683437164145694e-05,4.6237144342184484e-05,1.3848537023277627e-05,8.078313263578616e-06,8.078313263578616e-06,1.5002581775217432e-05
0.005358582799690791,0.006401556689425848,5.421350903886086e-06,5.8807987447717006e-05,4.737807402702057e-05,1.4246096281794316e-05,8.310222831046685e-06,8.310222831046685e-06,1.5433270971943847e-05
0.005536803152157174,0.006561385183553037,5.421414645102896e-06,6.0838505890963156e-05,4.8555713280337164e-05,1.4655604763431937e-05,8.549102778668631e-06,8.549102778668631e-06,1.5876905160384602e-05
0.005719354531174885,0.006727043299332387,5.421482404792647e-06,6.292756858595782e-05,4.9771235081789614e-05,1.5077421739895775e-05,8.795162681605869e-06,8.795162681605869e-06,1.633387355155376e-05
0.005906348572890847,0.0068987248972386,5.421554432000719e-06,6.50768645268706e-05,5.102584966896727e-05,1.5511917286508745e-05,9.048618417130102e-06,9.048618417130102e-06,1.680457706038448e-05
0.006097899933204379,0.007076630004556336,5.421630991020002e-06,6.728813145517538e-05,5.2320805714774935e-05,1.595947260710602e-05,9.309692354145178e-06,9.309692354145178e-06,1.728942865769819e-05
0.006294126372459375,0.007260965006953062,5.421712362316116e-06,6.956315726705258e-05,5.365739154185499e-05,1.6420480368700393e-05,9.578613548408562e-06,9.578613548408562e-06,1.778885373275876e-05
0.006495148842572471,0.007451942845924231,5.421798843508385e-06,7.190378146143717e-05,5.5036936375211045e-05,1.689534504621223e-05,9.855617943623801e-06,9.855617943623801e-06,1.830329046672992e-05
0.00670109157666835,0.007649783222289362,5.4218907504099345e-06,7.431189662988754e-05,5.646081163423006e-05,1.738448327756669e-05,1.0140948578580569e-05,1.0140948578580569e-05,1.883319021736392e-05
0.006912082181295603,0.007854712805923092,5.4219884181304414e-06,7.67894499894826e-05,5.7930432265337304e-05,1.7888324229469972e-05,1.0434855800524151e-05,1.0434855800524151e-05,1.9379017915259142e-05
0.007128251731298619,0.00806696545191079,5.422092202245299e-06,7.933844495999088e-05,5.9447258116557264e-05,1.840730997418584e-05,1.0737597484941741e-05,1.0737597484941741e-05,1.9941252472034667e-05
0.007349734867423301,0.00828678242332404,5.422202480035177e-06,8.196094278658984e-05,6.101279535529312e-05,1.8941895877643107e-05,1.1049439261958481e-05,1.1049439261958481e-05,2.0520387200780038e-05
0.0075766698967365985,0.00851441262081728,5.422319651800198e-06,8.465906420945217e-05,6.262859793067833e-05,1.9492550999214966e-05,1.1370654749542066e-05,1.1370654749542066e-05,2.1116930249149554e-05
0.007809198895942333,0.008750112819252915,5.4224441422531834e-06,8.743499118155258e-05,6.429626908189653e-05,2.005975850352114e-05,1.1701525793720666e-05,1.1701525793720666e-05,2.1731405045481238e-05
0.00804746781767813,0.008994147911568528,5.422576401996736e-06,9.02909686360881e-05,6.601746289390898e-05,2.064401608461438e-05,1.2042342716025056e-05,1.2042342716025056e-05,2.2364350758332252e-05
0.008291626599880855,0.009246791160106283,5.4227169090891485e-06,9.322930630494596e-05,6.779388590207428e-05,2.1245836402923897e-05,1.2393404568372275e-05,1.2393404568372275e-05,2.3016322769834228e-05
0.00854182927831049,0.009508324455631231,5.422866170704481e-06,9.625238058969278e-05,6.962729874719079e-05,2.1865747535339176e-05,1.275501939561452e-05,1.275501939561452e-05,2.368789316328411e-05
