t,AGB+OB,AGB+OB_rate
100000.0,0.0,4.8106299999999995e-09
131519.63252525253,0.00015162928981495556,4.8106299999999995e-09
163039.26505050506,0.0003032585796299111,4.8106299999999995e-09
194558.89757575758,0.00045488786944486664,4.8106299999999995e-09
226078.5301010101,0.0006065171592598222,4.8106299999999995e-09
257598.16262626264,0.0007581464490747778,4.8106299999999995e-09
289117.79515151517,0.0009097757388897334,4.8106299999999995e-09
320637.4276767677,0.0010614050287046889,4.8106299999999995e-09
352157.0602020202,0.0012130343185196445,4.8106299999999995e-09
383676.69272727275,0.0013646636083346,4.8106299999999995e-09
415196.3252525253,0.0015162928981495556,4.8106299999999995e-09
446715.9577777778,0.0016679221879645112,4.8106299999999995e-09
478235.59030303033,0.0018195514777794668,4.8106299999999995e-09
509755.22282828286,0.0019711807675944224,4.8106299999999995e-09
541274.8553535354,0.0021228100574093777,4.8106299999999995e-09
572794.4878787879,0.002274439347224333,4.8106299999999995e-09
604314.1204040404,0.0024260686370392885,4.8106299999999995e-09
635833.752929293,0.002577697926854244,4.8106299999999995e-09
667353.3854545455,0.0027293272166691992,4.8106299999999995e-09
698873.017979798,0.0028809565064841546,4.8106299999999995e-09
730392.6505050506,0.00303258579629911,4.8106299999999995e-09
761912.2830303031,0.0031842150861140653,4.8106299999999995e-09
793431.9155555556,0.0033358443759290207,4.8106299999999995e-09
824951.5480808081,0.003487473665743976,4.8106299999999995e-09
856471.1806060607,0.0036391029555589314,4.8106299999999995e-09
887990.8131313132,0.003790732245373887,4.8106299999999995e-09
919510.4456565657,0.003942361535188842,4.8106299999999995e-09
951030.0781818182,0.0040939908250037975,4.8106299999999995e-09
982549.7107070708,0.004245620114818753,4.8106299999999995e-09
1014069.3432323233,0.004398800948463162,4.909079360296972e-09
1045588.9757575758,0.004557044419401598,5.131867075969793e-09
1077108.6082828282,0.00472235803685336,5.357697947944655e-09
1108628.2408080809,0.004894836942757818,5.586522659086369e-09
1140147.8733333335,0.00507457475908313,5.818294080532118e-09
1171667.505858586,0.005261663654351992,6.052967116372585e-09
1203187.1383838383,0.005456194405507145,6.2904985632670825e-09
1234706.770909091,0.005658256455559119,6.530846983200624e-09
1266226.4034343436,0.005867937967406214,6.773972587846372e-09
1297746.035959596,0.0060853258741717,7.019837133210667e-09
1329265.6684848485,0.006310505926364286,7.2684038234172125e-09
1360785.301010101,0.0065435627361342995,7.519637222638448e-09
1392304.9335353537,0.006784579818868762,7.773503174310382e-09
1423824.5660606062,0.007033639632343041,8.029968726876393e-09
1455344.1985858586,0.0072908236136244595,8.289002065398633e-09
1486863.8311111112,0.007556212213903609,8.550572448455695e-09
1518383.4636363639,0.007829884931411945,8.81465014981392e-09
1549903.0961616163,0.008111920342568973,9.081206404419163e-09
1581422.7286868687,0.008402396131488877,9.350213358307092e-09
1612942.3612121213,0.008701389117964451,9.621644022075046e-09
1644461.993737374,0.009008975284035603,9.895472227597076e-09
1675981.6262626264,0.009325229799240168,1.0171672587698104e-08
1707501.2587878788,0.009650227044636295,1.045022045853273e-08
1739020.8913131314,0.00998404063567805,1.0731091904440499e-08
1770540.523838384,0.010326743444019052,1.101426366507249e-08
1802060.1563636365,0.010678407618312865,1.1299713124604452e-08
1833579.788888889,0.011039104604073239,1.1587418282869674e-08
1865099.4214141415,0.011408905162652336,1.1877357728260835e-08
1896619.0539393942,0.011787879389390578,1.2169510612264238e-08
1928138.6864646466,0.012176096730987577,1.2463856625502485e-08
1959658.318989899,0.012573626002139968,1.2760375975172942e-08
1991177.9515151517,0.012980535401488457,1.3059049363779457e-08
2022697.5840404043,0.013396892526913418,1.3359857969063815e-08
2054217.2165656567,0.013822764390215512,1.3662783425051526e-08
2085736.8490909091,0.014258217431215206,1.3967807804133896e-08
2117256.4816161618,0.01470331753130271,1.427491360011485e-08
2148776.1141414144,0.01515813002646774,1.4584083712156859e-08
2180295.746666667,0.015622719719836487,1.4895301429565886e-08
2211815.379191919,0.016097150893741353,1.5208550417359794e-08
2243335.011717172,0.016581487321347385,1.5523814702569454e-08
2274854.6442424245,0.017075792277857656,1.5841078661225293e-08
2306374.2767676767,0.01758012855131867,1.6160327005986166e-08
2337893.9092929293,0.018094558453045296,1.648154477437033e-08
2369413.541818182,0.018619143827683607,1.6804717317551553e-08
2400933.1743434346,0.019153946062929014,1.7129830289685927e-08
2432452.8068686873,0.019699026098915804,1.7456869637737743e-08
2463972.4393939395,0.020254444437293385,1.7785821591774748e-08
2495492.071919192,0.020820261150003672,1.8116672655705556e-08
2527011.7044444447,0.021396535887772985,1.8449409598433515e-08
2558531.336969697,0.02198332788833138,1.87840194454035e-08
2590050.9694949496,0.02258069598437141,1.912048947051952e-08
2621570.602020202,0.023188698611257528,1.9458807188412395e-08
2653090.234545455,0.02380739381449713,1.9798960347038502e-08
2684609.8670707075,0.02443683925698315,2.014093692059153e-08
2716129.4995959597,0.025077092226017932,2.0484725102710437e-08
2747649.1321212123,0.025728209640127498,2.0830313299968105e-08
2779168.764646465,0.026390248055674633,2.117769012562573e-08
2810688.397171717,0.027063263673279225,2.152684439363945e-08
2842208.02969697,0.027747312344053428,2.18777651129062e-08
2873727.6622222224,0.028442449575658963,2.223044148173664e-08
2905247.294747475,0.0291487305381937,2.2584862882543883e-08
2936766.9272727277,0.029866210069914023,2.2941018876737323e-08
2968286.55979798,0.030594942682799314,2.329889919981145e-08
2999806.1923232325,0.031334982567964624,2.3658493756620363e-08
3031325.824848485,0.03208638360092706,2.401979261682888e-08
3062845.4573737374,0.032849199346731583,2.4382786010532e-08
