t,AGB+OB
1.0,3.007587327618096e-09
1.0092528860766845,3.007615309801912e-09
1.0185913880541169,3.007643394771803e-09
1.0280162981264735,3.0076715828961047e-09
1.0375284158180127,3.007699874544266e-09
1.0471285480508996,3.0077282700868455e-09
1.0568175092136585,3.0077567698955133e-09
1.066596121230258,3.0077853743430476e-09
1.076465213629835,3.007814083803333e-09
1.0864256236170655,3.0078428986513597e-09
1.096478196143185,3.0078718192632188e-09
1.1066237839776663,3.007900846016103e-09
1.1168632477805611,3.007929979288303e-09
1.1271974561755105,3.007959219459205e-09
1.1376272858234309,3.0079885669092877e-09
1.1481536214968828,3.008018022020119e-09
1.158777356155126,3.0080475851743565e-09
1.169499391019871,3.0080772567557385e-09
1.1803206356517297,3.0081070371490868e-09
1.191242008027375,3.008136926740298e-09
1.202264434617413,3.008166925916344e-09
1.2133888504649772,3.008197035065264e-09
1.2246161992650486,3.008227254576165e-09
1.2359474334445104,3.0082575848392135e-09
1.247383514242943,3.008288026245634e-09
1.2589254117941673,3.008318579187702e-09
1.2705741052085417,3.008349244058742e-09
1.2823305826560216,3.008380021253119e-09
1.2941958414499861,3.0084109111662354e-09
1.3061708881318415,3.0084419141945254e-09
1.318256738556407,3.0084730307354493e-09
1.330454417978091,3.0085042611874857e-09
1.3427649611378638,3.0085356059501284e-09
1.355189412351036,3.0085670654238773e-09
1.367728825595849,3.008598640010233e-09
1.3803842646028848,3.00863033011169e-09
1.3931568029453032,3.0086621361317273e-09
1.406047524129914,3.0086940584748053e-09
1.4190575216890922,3.0087260975463526e-09
1.4321878992735435,3.008758253752763e-09
1.4454397707459274,3.008790527501384e-09
1.4588142602753484,3.008822919200508e-09
1.4723125024327188,3.008855429259367e-09
1.485935642287007,3.0088880580881176e-09
1.4996848355023735,3.0089208060978376e-09
1.5135612484362082,3.0089536737005116e-09
1.5275660582380726,3.008986661309023e-09
1.5417004529495595,3.0090197693371413e-09
1.5559656316050745,3.0090529981995154e-09
1.5703628043335525,3.009086348311658e-09
1.5848931924611136,3.0091198200899353e-09
1.599558028614669,3.009153413951556e-09
1.6143585568264864,3.009187130314559e-09
1.6292960326397223,3.0092209695977988e-09
1.6443717232149315,3.009254932220935e-09
1.6595869074375607,3.009289018604415e-09
1.6749428760264373,3.009323229169465e-09
1.6904409316432643,3.0093575643380705e-09
1.7060823890031236,3.0332416644525463e-09
1.721868574986007,3.095659520490627e-09
1.7378008287493754,3.1593644951067774e-09
1.7538805018417611,3.224383139918373e-09
1.770108958317421,3.290742554305566e-09
1.7864875748520508,3.35847039671183e-09
1.803017740859569,3.4275948961776406e-09
1.8197008586099834,3.4981448641120863e-09
1.8365383433483464,3.5701497063073577e-09
1.8535316234148114,3.6436394352010687e-09
1.8706821403658007,3.718644682391584e-09
1.8879913490962936,3.795196711411521e-09
1.9054607179632472,3.873327430764784e-09
1.9230917289101586,3.9530694072325675e-09
1.9408858775927782,4.034455879453836e-09
1.9588446735059897,4.117520771786015e-09
1.9769696401118606,4.2022987084516065e-09
1.9952623149688795,4.288825027976657e-09
2.0137242498623884,4.377135797927108e-09
2.032357010936222,4.4672678299491616e-09
2.0511621788255656,4.5592586951199175e-09
2.0701413487910423,4.653146739614731e-09
2.0892961308540396,4.748971100697759e-09
2.1086281499332893,4.846771723042429e-09
2.128139045982712,4.946589375388588e-09
2.147830474130534,5.048465667543301e-09
2.1677041048196948,5.1524430677323736e-09
2.1877616239495525,5.2585649203098595e-09
2.2080047330189,5.3668754638329225e-09
2.228435149270304,5.477419849509554e-09
2.2490546058357808,5.590244160026932e-09
2.269864851883822,5.705395428768179e-09
2.290867652767773,5.822921659425561e-09
2.3120647901755946,5.9428718460183524e-09
2.333458062281003,6.065295993323647e-09
2.3550492838960095,6.190245137728669e-09
2.3768402866248763,6.3177713685132945e-09
2.3988329190194904,6.4479278495716175e-09
2.4210290467361784,6.58076884158165e-09
2.443430552693972,6.7163497246323825e-09
2.4660393372343394,6.854727021317687e-09
2.488857318282391,6.995958420306599e-09
2.51188643150958,7.140102800399909e-09
2.535128630497908,7.287220255083028e-09
