t,AGB,SNII,Winds,tot_AGB,tot_SNII,tot_winds
4927350.344675482,0.0,2.7661584714121563e-08,9.677502879172088e-09,0.0,0.023280053066032782,0.1160077259160202
4940646.150827917,0.0,2.762274120552205e-08,9.593155084785308e-09,0.0,0.02343463093992093,0.11613583538237952
4953977.83396269,0.0,2.7583952242553055e-08,9.509542773460125e-09,0.0,0.02358941327014938,0.11626317093981224
4967345.490889105,0.0,2.7545217748622455e-08,9.426659532043324e-09,0.0,0.023744400327147475,0.11638973726776682
4980749.218677692,0.0,2.7506537647189136e-08,9.344499003302124e-09,0.0,0.023899592381702098,0.11651553901740891
4994189.114660944,0.0,2.7467911861922205e-08,9.263054885436403e-09,0.0,0.024054989704958632,0.11664058081179261
5007665.2764339615,0.0,2.742934031656349e-08,9.182320931595678e-09,0.0,0.02421059256842093,0.11676486724602983
5021177.801855193,0.0,2.739082293486896e-08,9.102290949399826e-09,0.0,0.024366401243951778,0.11688840288745948
5034726.789047177,0.0,2.7352359640857512e-08,9.022958800463904e-09,0.0,0.02452241600377389,0.11701119227581569
5048312.33639719,0.0,2.7313950358566294e-08,8.944318399927706e-09,0.0,0.024678637120469887,0.11713323992339406
5061934.542557994,0.0,2.7275595012087874e-08,8.866363715988867e-09,0.0,0.024835064866982722,0.11725455031521784
5075593.506448585,0.0,2.7237293525752204e-08,8.789088769440026e-09,0.0,0.02499169951661673,0.1173751279092031
5089289.327254847,0.0,2.719904582390145e-08,8.712487633210592e-09,0.0,0.025148541343037532,0.117494977136322
5103022.104430313,0.0,2.71608518310312e-08,8.636554431911884e-09,0.0,0.02530559062027279,0.11761410240076606
5116791.9376968695,0.0,2.3318733348446706e-08,8.5612833413866e-09,0.0,0.02545182492476985,0.11773250808010786
5132823.102233754,0.0,2.3070510857302247e-08,8.474728526084078e-09,0.0,0.025608275117153412,0.11786906163475773
5148989.864311435,0.0,2.2944186031139535e-08,8.388597398230172e-09,0.0,0.0257647675845989,0.11800537432378612
5165207.546553502,0.0,2.281855290888034e-08,8.30334208009252e-09,0.0,0.02592088610409176,0.11814072660901774
5181476.309342274,0.0,2.2693607702989176e-08,8.218953666149165e-09,0.0,0.026076631569202487,0.11827512526412852
5197796.313565257,0.0,2.256934664670976e-08,8.135423341432285e-09,0.0,0.026232004871366458,0.11840857701504251
5214167.720616698,0.0,2.2445765993956668e-08,8.052742380607546e-09,0.0,0.026387006899889057,0.11854108854026836
5230590.692399156,0.0,2.2322862019076833e-08,7.970902147062854e-09,0.0,0.026541638541950335,0.1186726664712334
5247065.391325163,0.0,2.2200631016864747e-08,7.889894092005888e-09,0.0,0.02669590068261058,0.1188033173926161
5263591.980318785,0.0,2.2079069302377098e-08,7.8097097535713e-09,0.0,0.026849794204815047,0.11893304784267537
5280170.622817262,0.0,2.195817321091274e-08,7.73034075593675e-09,0.0,0.027003319989399373,0.11906186431357808
5296801.482772576,0.0,2.1837939097741647e-08,7.651778808448156e-09,0.0,0.02715647891509408,0.11918977325172367
5313484.724653135,0.0,2.1718363338132717e-08,7.574015704753406e-09,0.0,0.027309271858530035,0.11931678105806738
5330220.5134453755,0.0,2.1599442327258957e-08,7.497043321945262e-09,0.0,0.027461699694243523,0.11944289408844048
5347009.014655352,0.0,2.148117247993314e-08,7.42085361971306e-09,0.0,0.027613763294680776,0.11956811865386816
5363850.394310445,0.0,2.1363550230646202e-08,7.345438639502497e-09,0.0,0.027765463530203413,0.1196924610208859
5380744.818960967,0.0,2.124657203344922e-08,7.270790503684492e-09,0.0,0.027916801269093384,0.11981592741185307
5397692.45568178,0.0,2.1130234361740276e-08,7.196901414732429e-09,0.0,0.028067777377557578,0.11993852400526406
5414693.472074011,0.0,2.1014533708252687e-08,7.123763654407378e-09,0.0,0.028218392719733157,0.12006025693605811
5431748.036266678,0.0,2.0899466584969927e-08,7.0513695829519996e-09,0.0,0.028368648157692515,0.12018113229592618
5448856.316918318,0.0,2.078502952290687e-08,6.979711638292668e-09,0.0,0.028518544551447814,0.1203011561336157
5466018.483218721,0.0,2.067121907208908e-08,6.908782335249295e-09,0.0,0.028668082758956284,0.12042033445523373
5483234.704890573,0.0,2.0558031801491352e-08,6.8385742647535496e-09,0.0,0.02881726363612516,0.12053867322454756
5500505.152191099,0.0,2.044546429879035e-08,6.769080093075099e-09,0.0,0.028966088036816152,0.12065617836328288
5517829.995913812,0.0,2.0333513170403033e-08,6.700292561055258e-09,0.0,0.029114556812850835,0.12077285575142077
5535209.407390161,0.0,2.0222175041289154e-08,6.632204483348909e-09,0.0,0.029262670814015183,0.12088871122749173
5552643.558491245,0.0,2.0111446554958488e-08,6.56480874767386e-09,0.0,0.029410430888064727,0.12100375058886806
5570132.621629467,0.0,2.000132437321384e-08,6.498098314068067e-09,0.0,0.029557837880728993,0.12111797959205382
5587676.7697603125,0.0,1.989180517617196e-08,6.432066214154009e-09,0.0,0.029704892635716722,0.1212314039529735
5605276.176384018,0.0,1.978288566217046e-08,6.366705550410941e-09,0.0,0.029851595994720686,0.12134402934725778
5622931.015547256,0.0,1.9674562547550332e-08,6.302009495454506e-09,0.0,0.029997948797422097,0.12145586141052761
5640641.4618449295,0.0,1.9566832566669133e-08,6.237971291323303e-09,0.0,0.030143951881495882,0.12156690573867665
5658407.690421854,0.0,1.945969247179719e-08,6.1745842487731395e-09,0.0,0.030289606082615373,0.12167716788815121
5676229.876974467,0.0,1.9353139032925795e-08,6.111841746578354e-09,0.0,0.030434912234456775,0.12178665337622822
5694108.197752625,0.0,1.9247169037765928e-08,6.0497372308399975e-09,0.0,0.030579871168704326,0.12189536768129182
5712042.829561314,0.0,1.9141779291635822e-08,5.988264214301319e-09,0.0,0.030724483715054995,0.12200331624310735
5730033.9497623695,0.0,1.9036966617305664e-08,5.927416275670238e-09,0.0,0.030868750701222893,0.12211050446309359
5748081.736276291,0.0,1.8932727854968068e-08,5.867187058948396e-09,0.0,0.031012672952944447,0.12221693770459338
5766186.367583963,0.0,1.8829059862100133e-08,5.8075702727673425e-09,0.0,0.03115625129398285,0.122322621293142
5784348.022728437,0.0,1.8725959513430403e-08,5.748559689731308e-09,0.0,0.03129948654613302,0.12242756051673381
5802566.881316659,0.0,1.862342370074235e-08,5.690149145766847e-09,0.0,0.03144237952922591,0.12253176062608671
5820843.123521315,0.0,1.852144933285449e-08,5.632332539478731e-09,0.0,0.03158493106113356,0.12263522683490538
5839176.930082577,0.0,1.8420033335558252e-08,5.575103831512742e-09,0.0,0.03172714195777376,0.12273796432014208
5857568.482309859,0.0,1.8319172651409314e-08,5.5184570439249005e-09,0.0,0.0318690130331144,0.12283997822225566
5876017.962083673,0.0,1.8218864239740465e-08,5.462386259556837e-09,0.0,0.032010545099178465,0.12294127364546917
5894525.551857399,0.0,1.8119105076548993e-08,5.4068856214178e-09,0.0,0.03215173896604867,0.12304185565802525
5913091.434659053,0.0,1.8019892154353372e-08,5.351949332072946e-09,0.0,0.03229259544187174,0.12314172929243968
5931715.794093163,0.0,1.7921222482153074e-08,5.297571653037567e-09,0.0,0.03243311533286344,0.12324089954575357
5950398.814342556,0.0,1.782309308535982e-08,5.2437469041777634e-09,0.0,0.032573299443313136,0.12333937137978344
5969140.68017014,0.0,1.7725501005610798e-08,5.1904694631172e-09,0.0,0.03271314857558804,0.12343714972136936
5987941.576920804,0.0,1.7628443300790032e-08,5.137733764649629e-09,0.0,0.03285266353013825,0.12353423946262192
6006801.6905232,0.0,1.753191704485917e-08,5.08553430015768e-09,0.0,0.032991845105501044,0.12363064546116692
6025721.207491611,0.0,1.7435919327852634e-08,5.033865617037393e-09,0.0,0.03313069409830572,0.12372637254038868
6044700.314927743,0.0,1.7340447255674204e-08,4.982722318128782e-09,0.0,0.03326921130327772,0.12382142548967116
6063739.200522649,0.0,1.7245497950101292e-08,4.932099061151864e-09,0.0,0.033407397513243606,0.12391580906463819
6082838.052558551,0.0,1.7151068548706138e-08,4.881990558148725e-09,0.0,0.03354525351913551,0.12400952798739123
6101997.059910661,0.0,1.7057156204673146e-08,4.832391574931239e-09,0.0,0.03368278010999535,0.12410258694674567
6121216.412049127,0.0,1.258618243443873e-08,4.783296930534145e-09,0.0,0.03380232533490939,0.12419499059846584
6147248.298933693,0.0,1.0750185061324899e-08,4.717835753459759e-09,0.0,0.03392979080891552,0.12431865680411833
6177798.249337133,0.0,1.0734673782113882e-08,4.642500485985331e-09,0.0,0.03406750851078055,0.12446163570805562
6208500.023682647,0.0,1.0719184883895119e-08,4.5683692577753466e-09,0.0,0.034205709302848115,0.12460303073025505
6239354.376488953,0.0,1.0703718334372295e-08,4.495422825378508e-09,0.0,0.03434439487971623,0.12474285944960337
6270362.066024494,0.0,1.0688274101297728e-08,4.42364225290029e-09,0.0,0.03448356694192725,0.12488113925005065
6301523.854326081,0.0,1.0672852152475749e-08,4.35300890708742e-09,0.0,0.03462322719598877,0.12501788732277286
6332840.507217612,0.0,1.0657452455749003e-08,4.2835044524909565e-09,0.0,0.034763377354394526,0.12515312066831036
6364312.794328896,0.0,1.064207497901056e-08,4.215110846706655e-09,0.0,0.03490401913564535,0.1252868560986827
6395941.4891145695,0.0,1.0626719690201102e-08,4.1478103356914e-09,0.0,0.035045154264270316,0.12541911023948005
6427727.3688731035,0.0,1.061138655730679e-08,4.081585449154506e-09,0.0,0.03518678447084786,0.1255498995319313
6459671.214765902,0.0,1.059607554835627e-08,4.016418996022668e-09,0.0,0.035328911492026965,0.12567924023494925
6491773.811836506,0.0,1.0580786631427689e-08,3.952294059977389e-09,0.0,0.03547153707054849,0.12580714842715326
6524035.949029884,0.0,1.0565519774648131e-08,3.889193995063742e-09,0.0,0.03561466295526654,0.12593364000886925
